Key,Participant_ID,Category,Difficulty,ResponseTime,routineStart,routineEnd,Result,Start_ms,End_ms
3spl1,32,3,0,8.4980668000062,1677244457.1130276,1677244465.6110945,1.0,1677244457113.0276,1677244465611.0945
3Item15,32,3,2,25.538395500014303,1677244469.168401,1677244494.7067964,0.0,1677244469168.4011,1677244494706.7964
3Item2,32,3,0,12.105390500015346,1677244494.7217765,1677244506.827167,1.0,1677244494721.7764,1677244506827.167
3Item5,32,3,0,14.75257939999574,1677244506.8494487,1677244521.602028,1.0,1677244506849.4487,1677244521602.0278
3Item12,32,3,1,16.76247639997746,1677244521.6186483,1677244538.3811247,0.0,1677244521618.6482,1677244538381.1248
3Item6,32,3,0,9.812888700020268,1677244538.3977742,1677244548.2106628,1.0,1677244538397.7742,1677244548210.6628
3Item8,32,3,1,10.17610019998392,1677244548.2359514,1677244558.4120517,1.0,1677244548235.9514,1677244558412.0518
3Item7,32,3,1,19.736573400005,1677244558.4267232,1677244578.1632967,1.0,1677244558426.7231,1677244578163.2966
3Item9,32,3,1,8.295660500007216,1677244578.1771295,1677244586.47279,0.0,1677244578177.1294,1677244586472.79
3Item17,32,3,0,2.0,1677244586.47279,1677244588.47279,,1677244586472.79,1677244588472.79
1spl1,33,1,0,20.166847300017253,1675945360.9262147,1675945381.093062,1.0,1675945360926.2146,1675945381093.062
1Item1,33,1,0,7.917779100011103,1675945421.018663,1675945428.936442,1.0,1675945421018.6628,1675945428936.442
1Item2,33,1,0,14.401597199990649,1675945428.9728336,1675945443.374431,1.0,1675945428972.8335,1675945443374.431
1Item3,33,1,0,32.624934499996016,1675945443.4094532,1675945476.0343876,1.0,1675945443409.4531,1675945476034.3877
1Item4,33,1,1,27.27565060000052,1675945476.0729878,1675945503.3486383,1.0,1675945476072.9878,1675945503348.6382
1Item5,33,1,1,39.73864870000398,1675945503.379984,1675945543.1186326,0.0,1675945503379.984,1675945543118.6326
1Item6,33,1,1,27.82802020001691,1675945543.1558652,1675945570.9838853,1.0,1675945543155.8652,1675945570983.8853
1Item7,33,1,2,73.83352939999895,1675945571.0179653,1675945644.8514948,0.0,1675945571017.965,1675945644851.4949
1Item8,33,1,2,45.829385599994566,1675945644.8846843,1675945690.7140698,1.0,1675945644884.6843,1675945690714.0698
